Type	Accession	Unique Name
Run	ERR2992470	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-18
Run	ERR2992471	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-19
Run	ERR2992472	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-20
Run	ERR2992473	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-21
Run	ERR2992474	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-22
Run	ERR2992475	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-23
Run	ERR2992476	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-24
Run	ERR2992477	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-25
Run	ERR2992478	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-26
Run	ERR2992479	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-27
Run	ERR2992480	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-28
Run	ERR2992481	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-29
Run	ERR2992482	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-30
Run	ERR2992483	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-31
Run	ERR2992484	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-32
Run	ERR2992485	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-33
Run	ERR2992486	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-34
Run	ERR2992487	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-35
Run	ERR2992488	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-36
Run	ERR2992489	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-37
Run	ERR2992490	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-38
Run	ERR2992491	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-39
Run	ERR2992492	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-40
Run	ERR2992493	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-41
Run	ERR2992494	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-42
Run	ERR2992495	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-43
Run	ERR2992496	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-44
Run	ERR2992497	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-45
Run	ERR2992498	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-46
Run	ERR2992499	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-47
Run	ERR2992500	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-48
